match_id,fecha,jornada,torneo,local,visitante,goles_local,goles_visitante,corners_local,corners_visitante,amarillas_local,amarillas_visitante,rojas_local,rojas_visitante,shots_local,shots_visitante,shots_ot_local,shots_ot_visitante,xg_local,xg_visitante,corners_total,amarillas_total,rojas_total
5101748,2026-01-31,4,Liga MX Clausura 2026,CF America,Necaxa,2,0,5.0,0.0,1.0,1.0,0.0,1.0,15.0,6.0,6.0,1.0,2.22,0.25,5.0,2.0,1.0
5101745,2026-01-31,4,Liga MX Clausura 2026,Atlas,Mazatlan FC,1,0,4.0,4.0,1.0,1.0,0.0,0.0,17.0,11.0,6.0,4.0,0.97,0.62,8.0,2.0,0.0
5101750,2026-01-31,4,Liga MX Clausura 2026,Atletico de San Luis,Chivas,2,3,6.0,3.0,1.0,3.0,0.0,0.0,8.0,14.0,2.0,7.0,1.33,2.5,9.0,4.0,0.0
5101747,2026-02-01,4,Liga MX Clausura 2026,Monterrey,Tijuana,2,2,6.0,6.0,2.0,5.0,0.0,0.0,21.0,16.0,8.0,5.0,1.35,1.72,12.0,7.0,0.0
5101746,2026-02-01,4,Liga MX Clausura 2026,Leon,Tigres,1,2,6.0,4.0,5.0,1.0,0.0,1.0,13.0,16.0,4.0,6.0,1.45,1.1,10.0,6.0,1.0
5101749,2026-02-01,4,Liga MX Clausura 2026,Queretaro FC,Pachuca,0,0,5.0,3.0,1.0,2.0,1.0,1.0,5.0,13.0,1.0,1.0,0.27,0.86,8.0,3.0,2.0
5101751,2026-02-07,5,Liga MX Clausura 2026,Necaxa,Atletico de San Luis,4,1,2.0,3.0,3.0,0.0,0.0,1.0,10.0,8.0,5.0,2.0,2.01,1.21,5.0,3.0,1.0
5101752,2026-02-07,5,Liga MX Clausura 2026,Tigres,Santos Laguna,5,1,4.0,1.0,1.0,3.0,0.0,0.0,20.0,8.0,7.0,3.0,3.44,1.48,5.0,4.0,0.0
5101754,2026-02-07,5,Liga MX Clausura 2026,Mazatlan FC,Chivas,1,2,1.0,2.0,3.0,2.0,0.0,0.0,6.0,14.0,3.0,6.0,0.31,2.19,3.0,5.0,0.0
5101753,2026-02-07,5,Liga MX Clausura 2026,Tijuana,Puebla,0,0,3.0,8.0,2.0,2.0,0.0,0.0,11.0,13.0,3.0,4.0,0.52,1.38,11.0,4.0,0.0
