fecha_prediccion,fecha_partido,partido,liga,jornada,equipo_local,equipo_visita,mercado,linea,prob_modelo,cuota_vista,ev_estimado,resultado_real,acierto,corners_real,tarjetas_real,goles_local_real,goles_visita_real
2026-04-19,2026-04-23,Atletico de San Luis vs Santos Laguna,Liga MX Clausura 2026,16,Atletico de San Luis,Santos Laguna,corners_over_8.5,8.5,0.176,,,,,,,,
2026-04-19,2026-04-23,Atletico de San Luis vs Santos Laguna,Liga MX Clausura 2026,16,Atletico de San Luis,Santos Laguna,corners_over_9.5,9.5,0.1,,,,,,,,
2026-04-19,2026-04-23,Atletico de San Luis vs Santos Laguna,Liga MX Clausura 2026,16,Atletico de San Luis,Santos Laguna,corners_over_10.5,10.5,0.052,,,,,,,,
2026-04-19,2026-04-23,Atletico de San Luis vs Santos Laguna,Liga MX Clausura 2026,16,Atletico de San Luis,Santos Laguna,tarjetas_over_3.5,3.5,0.818,,,,,,,,
2026-04-19,2026-04-23,Atletico de San Luis vs Santos Laguna,Liga MX Clausura 2026,16,Atletico de San Luis,Santos Laguna,tarjetas_over_4.5,4.5,0.67,,,,,,,,
2026-04-19,2026-04-23,Atletico de San Luis vs Santos Laguna,Liga MX Clausura 2026,16,Atletico de San Luis,Santos Laguna,tarjetas_over_5.5,5.5,0.502,,,,,,,,
2026-04-19,2026-04-23,Atletico de San Luis vs Santos Laguna,Liga MX Clausura 2026,16,Atletico de San Luis,Santos Laguna,btts_si,,0.553,,,,,,,,
2026-04-19,2026-04-23,Atletico de San Luis vs Santos Laguna,Liga MX Clausura 2026,16,Atletico de San Luis,Santos Laguna,goles_over_2.5,2.5,0.523,1.5,-0.2155,,,,,,
2026-04-19,2026-04-23,Atletico de San Luis vs Santos Laguna,Liga MX Clausura 2026,16,Atletico de San Luis,Santos Laguna,goles_over_1.5,1.5,0.778,,,,,,,,
2026-04-19,2026-04-23,Mazatlan FC vs Toluca,Liga MX Clausura 2026,16,Mazatlan FC,Toluca,corners_over_8.5,8.5,0.6,,,,,,,,
2026-04-19,2026-04-23,Mazatlan FC vs Toluca,Liga MX Clausura 2026,16,Mazatlan FC,Toluca,corners_over_9.5,9.5,0.469,,,,,,,,
2026-04-19,2026-04-23,Mazatlan FC vs Toluca,Liga MX Clausura 2026,16,Mazatlan FC,Toluca,corners_over_10.5,10.5,0.346,,,,,,,,
2026-04-19,2026-04-23,Mazatlan FC vs Toluca,Liga MX Clausura 2026,16,Mazatlan FC,Toluca,tarjetas_over_3.5,3.5,0.697,,,,,,,,
2026-04-19,2026-04-23,Mazatlan FC vs Toluca,Liga MX Clausura 2026,16,Mazatlan FC,Toluca,tarjetas_over_4.5,4.5,0.513,,,,,,,,
2026-04-19,2026-04-23,Mazatlan FC vs Toluca,Liga MX Clausura 2026,16,Mazatlan FC,Toluca,tarjetas_over_5.5,5.5,0.339,,,,,,,,
2026-04-19,2026-04-23,Mazatlan FC vs Toluca,Liga MX Clausura 2026,16,Mazatlan FC,Toluca,btts_si,,0.607,,,,,,,,
2026-04-19,2026-04-23,Mazatlan FC vs Toluca,Liga MX Clausura 2026,16,Mazatlan FC,Toluca,goles_over_2.5,2.5,0.574,1.44,-0.1734,,,,,,
2026-04-19,2026-04-23,Mazatlan FC vs Toluca,Liga MX Clausura 2026,16,Mazatlan FC,Toluca,goles_over_1.5,1.5,0.813,,,,,,,,
2026-04-19,2026-04-23,Necaxa vs Chivas,Liga MX Clausura 2026,16,Necaxa,Chivas,corners_over_8.5,8.5,0.486,,,,,,,,
2026-04-19,2026-04-23,Necaxa vs Chivas,Liga MX Clausura 2026,16,Necaxa,Chivas,corners_over_9.5,9.5,0.355,,,,,,,,
2026-04-19,2026-04-23,Necaxa vs Chivas,Liga MX Clausura 2026,16,Necaxa,Chivas,corners_over_10.5,10.5,0.244,,,,,,,,
2026-04-19,2026-04-23,Necaxa vs Chivas,Liga MX Clausura 2026,16,Necaxa,Chivas,tarjetas_over_3.5,3.5,0.782,,,,,,,,
2026-04-19,2026-04-23,Necaxa vs Chivas,Liga MX Clausura 2026,16,Necaxa,Chivas,tarjetas_over_4.5,4.5,0.62,,,,,,,,
2026-04-19,2026-04-23,Necaxa vs Chivas,Liga MX Clausura 2026,16,Necaxa,Chivas,tarjetas_over_5.5,5.5,0.447,,,,,,,,
2026-04-19,2026-04-23,Necaxa vs Chivas,Liga MX Clausura 2026,16,Necaxa,Chivas,btts_si,,0.596,,,,,,,,
2026-04-19,2026-04-23,Necaxa vs Chivas,Liga MX Clausura 2026,16,Necaxa,Chivas,goles_over_2.5,2.5,0.556,1.62,-0.0993,,,,,,
2026-04-19,2026-04-23,Necaxa vs Chivas,Liga MX Clausura 2026,16,Necaxa,Chivas,goles_over_1.5,1.5,0.801,,,,,,,,
2026-04-19,2026-04-23,Tijuana vs Pachuca,Liga MX Clausura 2026,16,Tijuana,Pachuca,corners_over_8.5,8.5,0.401,,,,,,,,
2026-04-19,2026-04-23,Tijuana vs Pachuca,Liga MX Clausura 2026,16,Tijuana,Pachuca,corners_over_9.5,9.5,0.278,,,,,,,,
2026-04-19,2026-04-23,Tijuana vs Pachuca,Liga MX Clausura 2026,16,Tijuana,Pachuca,corners_over_10.5,10.5,0.18,,,,,,,,
2026-04-19,2026-04-23,Tijuana vs Pachuca,Liga MX Clausura 2026,16,Tijuana,Pachuca,tarjetas_over_3.5,3.5,0.742,,,,,,,,
2026-04-19,2026-04-23,Tijuana vs Pachuca,Liga MX Clausura 2026,16,Tijuana,Pachuca,tarjetas_over_4.5,4.5,0.569,,,,,,,,
2026-04-19,2026-04-23,Tijuana vs Pachuca,Liga MX Clausura 2026,16,Tijuana,Pachuca,tarjetas_over_5.5,5.5,0.393,,,,,,,,
2026-04-19,2026-04-23,Tijuana vs Pachuca,Liga MX Clausura 2026,16,Tijuana,Pachuca,btts_si,,0.603,,,,,,,,
2026-04-19,2026-04-23,Tijuana vs Pachuca,Liga MX Clausura 2026,16,Tijuana,Pachuca,goles_over_2.5,2.5,0.572,1.7,-0.0276,,,,,,
2026-04-19,2026-04-23,Tijuana vs Pachuca,Liga MX Clausura 2026,16,Tijuana,Pachuca,goles_over_1.5,1.5,0.812,,,,,,,,
2026-04-20,2026-04-23,Arsenal vs Real Madrid,UEFA Champions League,0,Arsenal,Real Madrid,btts_si,,0.61,,,,,,,,
2026-04-20,2026-04-23,Arsenal vs Real Madrid,UEFA Champions League,0,Arsenal,Real Madrid,goles_over_2.5,2.5,0.58,,,,,,,,
2026-04-20,2026-04-23,Arsenal vs Real Madrid,UEFA Champions League,0,Arsenal,Real Madrid,goles_over_1.5,1.5,0.82,,,,,,,,
