fecha,liga,nombre_liga,pais,temporada,local,visitante,goles_local,goles_visita,odd_1,odd_X,odd_2,odd_over25,odd_under25
2025-01-15,premier,Premier League,England,2024/2025,Arsenal,Tottenham,2,1,1.4,5.54,6.88,1.44,2.75
2025-01-16,premier,Premier League,England,2024/2025,Ipswich,Brighton,0,2,3.84,3.78,1.96,1.73,2.1
2025-01-16,premier,Premier League,England,2024/2025,Man United,Southampton,3,1,1.31,5.97,9.23,1.53,2.5
2025-01-18,premier,Premier League,England,2024/2025,Newcastle,Bournemouth,1,4,1.65,4.33,4.99,1.53,2.5
2025-01-18,premier,Premier League,England,2024/2025,Brentford,Liverpool,0,2,6.49,5.33,1.43,1.36,3.2
2025-01-18,premier,Premier League,England,2024/2025,Leicester,Fulham,0,2,4.38,3.91,1.81,1.73,2.1
2025-01-18,premier,Premier League,England,2024/2025,West Ham,Crystal Palace,0,2,2.65,3.49,2.7,1.8,2.0
2025-01-18,premier,Premier League,England,2024/2025,Arsenal,Aston Villa,2,2,1.53,4.4,6.38,1.87,2.03
2025-01-19,premier,Premier League,England,2024/2025,Everton,Tottenham,3,2,2.97,3.45,2.46,1.67,2.2
2025-01-19,premier,Premier League,England,2024/2025,Man United,Brighton,1,3,2.11,3.77,3.39,1.67,2.2
2025-01-19,premier,Premier League,England,2024/2025,Nott'm Forest,Southampton,3,2,1.4,4.92,8.27,1.73,2.1
2025-01-19,premier,Premier League,England,2024/2025,Ipswich,Man City,0,6,7.76,5.51,1.37,1.44,2.75
2025-01-20,premier,Premier League,England,2024/2025,Chelsea,Wolves,3,1,1.38,5.69,7.16,1.36,3.2
2025-01-25,premier,Premier League,England,2024/2025,Bournemouth,Nott'm Forest,5,0,2.11,3.7,3.45,1.85,2.05
2025-01-25,premier,Premier League,England,2024/2025,Brighton,Everton,0,1,1.68,3.83,5.5,1.89,1.89
2025-01-25,premier,Premier League,England,2024/2025,Liverpool,Ipswich,4,1,1.1,11.75,21.77,1.25,4.0
2025-01-25,premier,Premier League,England,2024/2025,Southampton,Newcastle,1,3,7.05,5.17,1.42,1.41,2.7
2025-01-25,premier,Premier League,England,2024/2025,Wolves,Arsenal,0,1,6.86,4.74,1.47,1.73,2.1
2025-01-25,premier,Premier League,England,2024/2025,Man City,Chelsea,3,1,2.03,4.09,3.36,1.4,3.0
2025-01-26,premier,Premier League,England,2024/2025,Crystal Palace,Brentford,1,2,2.06,3.7,3.59,1.73,2.1
2025-01-26,premier,Premier League,England,2024/2025,Tottenham,Leicester,1,2,1.46,5.37,5.94,1.33,3.4
2025-01-26,premier,Premier League,England,2024/2025,Aston Villa,West Ham,1,1,1.55,4.46,5.99,1.67,2.2
2025-01-26,premier,Premier League,England,2024/2025,Fulham,Man United,0,1,2.32,3.48,3.18,1.88,2.02
2025-02-01,premier,Premier League,England,2024/2025,Nott'm Forest,Brighton,7,0,2.46,3.43,2.99,1.95,1.95
2025-02-01,premier,Premier League,England,2024/2025,Bournemouth,Liverpool,0,2,4.68,4.35,1.68,1.44,2.75
2025-02-01,premier,Premier League,England,2024/2025,Everton,Leicester,4,0,1.81,3.7,4.73,2.04,1.86
2025-02-01,premier,Premier League,England,2024/2025,Ipswich,Southampton,1,2,2.0,3.71,3.78,1.73,2.1
2025-02-01,premier,Premier League,England,2024/2025,Newcastle,Fulham,1,2,1.71,4.14,4.74,1.62,2.3
2025-02-01,premier,Premier League,England,2024/2025,Wolves,Aston Villa,2,0,3.43,3.56,2.17,1.73,2.1
2025-02-02,premier,Premier League,England,2024/2025,Brentford,Tottenham,0,2,2.12,3.88,3.11,1.33,3.4
2025-02-02,premier,Premier League,England,2024/2025,Man United,Crystal Palace,0,2,1.98,3.49,3.83,1.87,2.03
2025-02-02,premier,Premier League,England,2024/2025,Arsenal,Man City,5,1,1.93,3.63,3.85,1.73,2.1
2025-02-03,premier,Premier League,England,2024/2025,Chelsea,West Ham,2,1,1.36,5.92,7.51,1.4,3.0
2025-02-12,premier,Premier League,England,2024/2025,Everton,Liverpool,2,2,7.36,4.73,1.45,1.73,2.1
2025-02-14,premier,Premier League,England,2024/2025,Brighton,Chelsea,3,0,2.92,3.65,2.43,1.57,2.38
2025-02-15,premier,Premier League,England,2024/2025,Leicester,Arsenal,0,2,9.47,5.42,1.34,1.73,2.1
2025-02-15,premier,Premier League,England,2024/2025,Aston Villa,Ipswich,1,1,1.41,5.02,7.6,1.57,2.38
2025-02-15,premier,Premier League,England,2024/2025,Fulham,Nott'm Forest,2,1,2.23,3.38,3.47,2.1,1.73
2025-02-15,premier,Premier League,England,2024/2025,Man City,Newcastle,4,0,1.99,4.09,3.49,1.44,2.75
2025-02-15,premier,Premier League,England,2024/2025,Southampton,Bournemouth,1,3,6.01,4.65,1.52,1.5,2.63
2025-02-15,premier,Premier League,England,2024/2025,West Ham,Brentford,0,1,2.43,3.71,2.83,1.62,2.3
2025-02-15,premier,Premier League,England,2024/2025,Crystal Palace,Everton,1,2,1.79,3.5,5.17,2.2,1.67
2025-02-16,premier,Premier League,England,2024/2025,Liverpool,Wolves,2,1,1.19,8.22,12.7,1.36,3.2
2025-02-16,premier,Premier League,England,2024/2025,Tottenham,Man United,1,0,2.46,3.84,2.73,1.5,2.63
2025-02-19,premier,Premier League,England,2024/2025,Aston Villa,Liverpool,2,2,4.02,4.09,1.85,1.57,2.38
2025-02-21,premier,Premier League,England,2024/2025,Leicester,Brentford,0,4,3.79,3.87,1.97,1.57,2.38
2025-02-22,premier,Premier League,England,2024/2025,Everton,Man United,2,2,2.58,3.23,2.98,2.2,1.67
2025-02-22,premier,Premier League,England,2024/2025,Arsenal,West Ham,0,1,1.25,6.42,11.04,1.67,2.2
2025-02-22,premier,Premier League,England,2024/2025,Bournemouth,Wolves,0,1,1.57,4.52,5.58,1.57,2.38
2025-02-22,premier,Premier League,England,2024/2025,Fulham,Crystal Palace,0,2,2.04,3.52,3.84,2.02,1.88
2025-02-22,premier,Premier League,England,2024/2025,Ipswich,Tottenham,1,4,3.92,3.96,1.89,1.53,2.5
2025-02-22,premier,Premier League,England,2024/2025,Southampton,Brighton,0,4,5.56,4.53,1.57,1.57,2.38
2025-02-22,premier,Premier League,England,2024/2025,Aston Villa,Chelsea,2,1,2.62,3.78,2.58,1.57,2.38
2025-02-23,premier,Premier League,England,2024/2025,Newcastle,Nott'm Forest,4,3,1.84,4.03,4.1,1.67,2.2
2025-02-23,premier,Premier League,England,2024/2025,Man City,Liverpool,0,2,2.95,3.97,2.26,1.4,3.0
2025-02-25,premier,Premier League,England,2024/2025,Brighton,Bournemouth,2,1,2.06,3.84,3.53,1.62,2.3
2025-02-25,premier,Premier League,England,2024/2025,Crystal Palace,Aston Villa,4,1,2.57,3.42,2.89,1.9,2.0
