id,nombre,equipo,equipo_id,posicion,edad,nacionalidad,pais_cod,altura_cm,camiseta,valor_mercado_eur,rating,goles,asistencias,minutos_stats,partidos_stats,goles_p90,xG_p90,tiros_p90,tiros_a_puerta_p90,asistencias_p90,xA_p90,chances_creadas_p90,grandes_chances_p90,pases_precisos_p90,pases_largos_p90,duelos_tierra_ganados_p90,recuperaciones_campo_rival_p90,entradas_p90,intercepciones_p90,despejes_p90,tiros_bloqueados_p90,faltas_cometidas_p90,tarjetas_amarillas_p90,tarjetas_rojas_p90,paradas_p90,porcentaje_paradas_p90,goles_evitados_p90,goles_recibidos_p90,porterias_cero_p90,penales_ganados_p90
1171126,Jordán Carrillo,Pumas,1946,"CAM,LM,RW,LW",24,Mexico,MEX,168.0,33.0,1185308,7.07,2.0,1.0,666.0,10.0,0.27,0.15,2.0,0.7,0.135,0.13,14.0,1.0,27.2,1.6,1.6,0.3,1.8,0.5,0.9,,2.0,0.135,,,,,,,1.0
1108611,Pedro Vite,Pumas,1946,"CM,RW,CDM,CAM,RM",24,Ecuador,ECU,170.0,45.0,6507426,7.16,1.0,,880.0,11.0,0.1,0.02,0.6,0.2,,0.12,15.0,1.0,46.8,3.0,0.4,0.2,2.0,1.3,0.8,0.5,0.7,,,,,,,,
1783533,Dennis Ramírez,Pumas,1946,,18,Mexico,MEX,,193.0,25000,,,,14.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
1813204,Stanley García,Pumas,1946,,19,Mexico,MEX,,203.0,15000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
595762,Leonardo Suárez,Pumas,1946,RW,29,Argentina,ARG,167.0,,1375431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
558539,Guillermo Martínez,Pumas,1946,ST,31,Mexico,MEX,180.0,9.0,1380068,6.55,2.0,,232.0,9.0,0.78,0.49,3.9,0.8,,0.08,3.0,,16.7,0.8,1.2,,0.8,,1.2,,2.7,0.388,,,,,,,1.0
861901,José Macias,Pumas,1946,ST,26,Mexico,MEX,177.0,11.0,1500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
728409,Juninho,Pumas,1946,ST,29,Brazil,BRA,179.0,23.0,1278771,7.15,5.0,2.0,655.0,11.0,0.69,0.56,2.3,1.2,0.275,0.13,9.0,3.0,10.9,1.0,1.1,,0.1,,0.8,,0.8,,,,,,,,
1607678,Santiago López,Pumas,1946,ST,20,Canada,CAN,178.0,30.0,745908,,,,9.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,
1211598,Robert Morales,Pumas,1946,"ST,CAM",27,Paraguay,PAR,180.0,31.0,1745783,7.03,3.0,1.0,885.0,11.0,0.31,0.47,3.1,1.3,0.102,0.19,9.0,1.0,12.8,0.7,0.3,0.1,1.0,0.2,1.1,0.1,1.6,,,,,,,,1.0
1175824,Diego Urtiaga,Atletico de San Luis,6358,GK,27,Mexico,MEX,186.0,,107000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1274477,Andrés Sánchez,Atletico de San Luis,6358,GK,28,Mexico,MEX,187.0,1.0,1490056,6.51,,,926.0,11.0,,,,,,0.0,,,18.5,,,,0.1,,1.7,,,0.097,,3.3,65.4,-1.9,1.7,0.194,
1432267,César López,Atletico de San Luis,6358,GK,25,Mexico,MEX,188.0,23.0,443005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528122,Gibrán Lajud,Atletico de San Luis,6358,GK,32,Mexico,MEX,188.0,34.0,311788,,,,64.0,1.0,,,,,,,,,,,,,,,,,,1.406,,,,,,,
1435987,Román Torres,Atletico de San Luis,6358,"RB,RWB,RM",21,Mexico,MEX,178.0,2.0,1255377,6.56,,1.0,728.0,11.0,,0.04,0.6,0.4,0.124,0.07,9.0,2.0,24.1,1.6,,0.4,1.4,0.5,1.5,0.5,1.2,0.247,,,,,,,
926136,Robson Bambu,Atletico de San Luis,6358,CB,28,Brazil,BRA,185.0,3.0,2244250,,,1.0,410.0,6.0,,0.04,0.2,,0.22,0.07,2.0,1.0,55.5,4.6,0.9,,0.7,0.9,3.1,,1.5,,0.22,,,,,,
70199,Julio César Dominguez,Atletico de San Luis,6358,CB,38,Mexico,MEX,175.0,4.0,332591,,,,193.0,3.0,,,,,,,,,,,,,,,,,,0.933,,,,,,,
