equipo,elo,fecha,liga
Betis,1529.69,2021-10-27,laliga
Valencia,1491.72,2021-10-27,laliga
Real Madrid,1540.07,2021-10-27,laliga
Osasuna,1523.0,2021-10-27,laliga
Levante,1462.92,2021-10-28,laliga
Ath Madrid,1527.08,2021-10-28,laliga
Celta,1469.08,2021-10-28,laliga
Sociedad,1546.57,2021-10-28,laliga
Granada,1477.86,2021-10-28,laliga
Getafe,1443.63,2021-10-28,laliga
Valencia,1498.67,2021-10-30,laliga
Villarreal,1492.75,2021-10-30,laliga
Barcelona,1498.81,2021-10-30,laliga
Alaves,1473.27,2021-10-30,laliga
Elche,1468.73,2021-10-30,laliga
Real Madrid,1549.25,2021-10-30,laliga
Sevilla,1545.09,2021-10-30,laliga
Osasuna,1516.62,2021-10-30,laliga
Getafe,1451.8,2021-10-31,laliga
Espanol,1492.74,2021-10-31,laliga
Sociedad,1544.05,2021-10-31,laliga
Ath Bilbao,1525.86,2021-10-31,laliga
Cadiz,1465.5,2021-10-31,laliga
Mallorca,1492.48,2021-10-31,laliga
Ath Madrid,1533.91,2021-10-31,laliga
Betis,1522.87,2021-10-31,laliga
Vallecano,1514.66,2021-11-01,laliga
Celta,1472.18,2021-11-01,laliga
Levante,1452.55,2021-11-01,laliga
Granada,1488.23,2021-11-01,laliga
Ath Bilbao,1513.7,2021-11-05,laliga
Cadiz,1477.66,2021-11-05,laliga
Espanol,1499.44,2021-11-06,laliga
Granada,1481.53,2021-11-06,laliga
Celta,1470.84,2021-11-06,laliga
Barcelona,1500.15,2021-11-06,laliga
Alaves,1479.59,2021-11-06,laliga
Levante,1446.23,2021-11-06,laliga
Real Madrid,1555.24,2021-11-06,laliga
Vallecano,1508.66,2021-11-06,laliga
Osasuna,1506.49,2021-11-07,laliga
Sociedad,1554.18,2021-11-07,laliga
Mallorca,1489.93,2021-11-07,laliga
Elche,1471.29,2021-11-07,laliga
Betis,1512.61,2021-11-07,laliga
Sevilla,1555.35,2021-11-07,laliga
Villarreal,1498.61,2021-11-07,laliga
Getafe,1445.94,2021-11-07,laliga
Valencia,1497.54,2021-11-07,laliga
Ath Madrid,1535.04,2021-11-07,laliga
Levante,1445.91,2021-11-19,laliga
Ath Bilbao,1514.03,2021-11-19,laliga
Celta,1469.5,2021-11-20,laliga
Villarreal,1499.94,2021-11-20,laliga
Sevilla,1551.59,2021-11-20,laliga
Alaves,1483.34,2021-11-20,laliga
Ath Madrid,1541.26,2021-11-20,laliga
Osasuna,1500.26,2021-11-20,laliga
Barcelona,1507.04,2021-11-20,laliga
Espanol,1492.55,2021-11-20,laliga
Getafe,1453.64,2021-11-21,laliga
Cadiz,1469.96,2021-11-21,laliga
Granada,1472.43,2021-11-21,laliga
Real Madrid,1564.35,2021-11-21,laliga
Elche,1461.36,2021-11-21,laliga
Betis,1522.54,2021-11-21,laliga
Sociedad,1550.83,2021-11-21,laliga
